Event Date / Time,Event Number,Type,Address,Latitude,Longitude
7/13/2024 7:59,2024-042249,28-Oct,"1 10-28 Belleville, IL",38.446531,-90.264658
7/14/2024 2:52,2024-042462,28-Oct,"1 10-28 Belleville, IL",38.446531,-90.264658
7/15/2024 19:28,2024-042802,28-Oct,"1 10-28 Belleville, IL",38.446531,-90.264658
7/18/2024 0:21,2024-043468,28-Oct,"1 10-28 Belleville, IL",38.446531,-90.264658
7/18/2024 11:41,2024-043546,28-Oct,"1 10-28 Belleville, IL",38.446531,-90.264658
7/18/2024 21:13,2024-043666,28-Oct,"1 10-28 Belleville, IL",38.446531,-90.264658
7/19/2024 22:24,2024-043923,28-Oct,"1 10-28 Belleville, IL",38.446531,-90.264658
7/14/2024 12:11,2024-042524,10-27 / 10-29,"1 10-27 / 10-29 Belleville, IL",38.446531,-90.264658
7/16/2024 11:46,2024-042958,10-27 / 10-29,"1 10-27 / 10-29 Belleville, IL",38.446531,-90.264658
7/19/2024 19:54,2024-043874,10-27 / 10-29,"1 10-27 / 10-29 Belleville, IL",38.446531,-90.264658
7/13/2024 9:05,2024-042261,911 HANGUP,"710 S 1ST Belleville, IL",38.5066037,-89.985588
7/13/2024 18:07,2024-042366,911 HANGUP,"1110 S ILLINOIS Belleville, IL",38.5016259,-89.984203
7/13/2024 19:07,2024-042377,911 HANGUP,"710 HECKER ST Belleville, IL",38.5239913,-89.9737061
7/14/2024 4:10,2024-042472,911 HANGUP,"1110 WABASH AVE Belleville, IL",38.5020195,-89.9639902
7/14/2024 21:34,2024-042613,911 HANGUP,"310 GETTYSBURG RD Belleville, IL",38.5550598,-90.0190838
7/15/2024 12:15,2024-042731,911 HANGUP,"210 FREEDOM DR Belleville, IL",38.5389401,-90.0294151
7/16/2024 14:07,2024-043057,911 HANGUP,"310 N 42ND Belleville, IL",38.5398713,-90.0171166
7/16/2024 19:21,2024-043153,911 HANGUP,"410 MITCHELL LN Belleville, IL",38.5522813,-90.0428562
7/16/2024 23:38,2024-043211,911 HANGUP,"10 TALISMAN DR Belleville, IL",38.4997036,-89.9691248
7/17/2024 23:12,2024-043456,911 HANGUP,"510 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/18/2024 0:57,2024-043470,911 HANGUP,"1710 S 74TH Belleville, IL",38.538904,-90.054365
7/18/2024 4:41,2024-043493,911 HANGUP,"210 FREEDOM DR Belleville, IL",38.5389401,-90.0294151
7/18/2024 17:57,2024-043619,911 HANGUP,"910 ROYAL HEIGHTS Belleville, IL",38.5442171,-90.0137165
7/18/2024 21:14,2024-043667,911 HANGUP,"110 ORCHARD DR Belleville, IL",38.5192068,-89.9544312
7/18/2024 23:01,2024-043687,911 HANGUP,"1210 MAIDEN LN Belleville, IL",38.5006798,-89.9661927
7/19/2024 12:09,2024-043786,911 HANGUP,"210 ARAPAHO DR Belleville, IL",38.498446,-90.0048931
7/19/2024 16:45,2024-043833,911 HANGUP,"510 S 1ST Belleville, IL",38.5084106,-89.985573
7/19/2024 18:57,2024-043851,911 HANGUP,"10 SOUTH BELT Belleville, IL",38.5020943,-89.9848753
7/13/2024 10:33,2024-042274,911 OPEN LINE,"2710 FRANK SCOTT Belleville, IL",38.5201081,-90.0359832
7/13/2024 19:49,2024-042392,911 OPEN LINE,"710 SCHEEL ST Belleville, IL",38.5207741,-89.9755874
7/14/2024 15:56,2024-042557,911 OPEN LINE,"110 STATE ST Belleville, IL",38.5041626,-89.9942209
7/17/2024 9:29,2024-043283,911 OPEN LINE,"4710 RUTH ST Belleville, IL",38.5432031,-90.0321953
7/18/2024 8:14,2024-043507,911 OPEN LINE,"110 LUCINDA AVE Belleville, IL",38.5200054,-89.9651246
7/13/2024 15:08,2024-042334,ABANDON VEHICLE,"1 OLD ST LOUIS Belleville, IL",38.546344,-90.053582
7/13/2024 18:45,2024-042373,ABANDON VEHICLE,"7610 W MAIN Belleville, IL",38.5615491,-90.0469306
7/15/2024 12:12,2024-042730,ABANDON VEHICLE,"10 MELWOOD DR Belleville, IL",38.555278,-90.044546
7/15/2024 12:17,2024-042732,ABANDON VEHICLE,"10 MELWOOD DR Belleville, IL",38.555278,-90.044546
7/16/2024 16:57,2024-043122,ABANDON VEHICLE,"810 PORTLAND AVE Belleville, IL",38.5065498,-89.9639576
7/17/2024 11:20,2024-043300,ABANDON VEHICLE,"610 N ILLINOIS Belleville, IL",38.4750313,-89.9286139
7/18/2024 9:37,2024-043522,ABANDON VEHICLE,"810 W A Belleville, IL",38.515673,-89.9948123
7/19/2024 9:58,2024-043757,ABANDON VEHICLE,"2110 SCHEEL ST Belleville, IL",38.5295141,-89.9635717
7/15/2024 12:29,2024-042734,ABANDON VEHICLE 24-03957,"1110 LASALLE ST Belleville, IL",38.52444197959184,-89.97216279591836
7/18/2024 9:37,2024-043523,ABANDON VEHICLE 24-04012,"810 W A Belleville, IL",38.515673,-89.9948123
7/13/2024 22:01,2024-042423,ABUSE / CHILD 24-03928,"5710 NORTH BELT Belleville, IL",38.5416425,-90.033377
7/17/2024 16:40,2024-043371,ACCIDENT / CITY VEHICLE 24-04003,"1 BIKE TRAIL Belleville, IL",38.570465,-90.055894
7/15/2024 16:11,2024-042766,ACCIDENT / NO INJURY,"810 CARLYLE AVE Belleville, IL",38.5175918,-89.9507134
7/16/2024 13:34,2024-043041,ACCIDENT / NO INJURY,"1 N 38TH ST/SOUTH Belleville, IL",38.53453,-90.020101
7/16/2024 19:59,2024-043169,ACCIDENT / NO INJURY,"1 CARLYLE AVE/WEST BLVD Belleville, IL",38.51473,-89.973456
7/17/2024 2:58,2024-043232,ACCIDENT / NO INJURY,"7310 WESTFIELD PLAZA Belleville, IL",38.5446811,-90.0522327
7/17/2024 16:41,2024-043373,ACCIDENT / NO INJURY,"2610 GREEN MOUNT Belleville, IL",38.520541,-89.924028
7/18/2024 13:12,2024-043559,ACCIDENT / NO INJURY,"1 NORTH BELT WEST/W Belleville, IL",38.5418684,-89.99983584205091
7/13/2024 16:18,2024-042347,ACCIDENT / NO INJURY 24-03918,"2610 GREEN MOUNT Belleville, IL",,
7/13/2024 16:02,2024-042344,ACCIDENT / NO INJURY 24-03920,"1 S GREEN MOUNT Belleville, IL",38.480558,-89.938216
7/13/2024 20:06,2024-042395,ACCIDENT / NO INJURY 24-03926,"1 N VIRGINIA AVE/E Belleville, IL",38.514951,-89.968712
7/16/2024 11:54,2024-042960,ACCIDENT / NO INJURY 24-03980,"610 CARLYLE AVE Belleville, IL",38.5163816,-89.9567007
7/16/2024 15:21,2024-043090,ACCIDENT / NO INJURY 24-03983,"410 W MAIN Belleville, IL",38.5133354,-89.9901936342252
7/16/2024 16:48,2024-043117,ACCIDENT / NO INJURY 24-03985,"1 N DOUGLAS AVE/N Belleville, IL",38.515149,-89.973292
7/17/2024 9:24,2024-043280,ACCIDENT / NO INJURY 24-03992,"1 COOL VALLEY DR Belleville, IL",38.502201,-89.950707
7/17/2024 11:21,2024-043301,ACCIDENT / NO INJURY 24-03995,"210 N CHURCH Belleville, IL",38.5159956,-89.9802024
7/17/2024 12:17,2024-043316,ACCIDENT / NO INJURY 24-03996,"1 NORTH BELT WEST/N Belleville, IL",38.5418684,-89.99983584205091
7/19/2024 12:46,2024-043797,ACCIDENT / NO INJURY 24-04036,"1 W STATE RT Belleville, IL",38.561238,-90.022926
7/16/2024 16:27,2024-043115,ACCIDENT / NO INJURY,"1 S GREEN MOUNT Belleville, IL",38.480558,-89.938216
7/14/2024 19:50,2024-042593,ACCIDENT / W/ INJURIES 24-03947,"3110 W MAIN Belleville, IL",38.5298898,-90.0130479
7/15/2024 16:33,2024-042769,ACCIDENT / W/ INJURIES 24-03962,"1 SOUTH BELT WEST/CENTREVILLE Belleville, IL",38.51473,-89.973456
7/16/2024 10:58,2024-042945,ACCIDENT / W/ INJURIES 24-03978,"1 W STATE RT Belleville, IL",38.561238,-90.022926
7/17/2024 13:31,2024-043325,ACCIDENT / W/ LANE BLOCKAGE24-03998,"1 LEBANON AVE/N DOUGLAS Belleville, IL",38.51473,-89.973456
7/14/2024 15:13,2024-042550,ALARM / BURGLAR,"610 S ILLINOIS Belleville, IL",38.4750313,-89.9286139
7/16/2024 9:33,2024-042919,ALARM / BURGLAR,"9410 W MAIN Belleville, IL",38.5749956,-90.0552282
7/17/2024 12:24,2024-043317,ALARM / BURGLAR,"510 PARK AVE Belleville, IL",38.5101472,-89.9736015
7/13/2024 16:10,2024-042346,ALARM / BUSINESS,"510 S CHARLES Belleville, IL",38.5083822,-89.979072
7/15/2024 4:13,2024-042652,ALARM / BUSINESS,"110 N 16TH Belleville, IL",,
7/15/2024 9:49,2024-042697,ALARM / BUSINESS,"1410 N CHARLES Belleville, IL",38.5260869,-89.9718365
7/16/2024 5:41,2024-042881,ALARM / BUSINESS,"910 S GREEN Belleville, IL",38.479486,-89.9386194
